# query|compound|entity
Psilocybin Autism spectrum disorder treatment outcome|Psilocybin|Autism spectrum disorder
Psilocybin Demoralization clinical trial|Psilocybin|Demoralization
Psilocybin Demoralization randomized placebo|Psilocybin|Demoralization
Psilocybin Demoralization treatment outcome|Psilocybin|Demoralization
Psilocybin Suicidal ideation clinical trial|Psilocybin|Suicidal ideation
Psilocybin Suicidal ideation randomized placebo|Psilocybin|Suicidal ideation
Psilocybin Suicidal ideation treatment outcome|Psilocybin|Suicidal ideation
Psilocybin Cluster headache clinical trial|Psilocybin|Cluster headache
Psilocybin Cluster headache randomized placebo|Psilocybin|Cluster headache
Psilocybin Cluster headache treatment outcome|Psilocybin|Cluster headache
Psilocybin Headache disorders clinical trial|Psilocybin|Headache disorders
Psilocybin Headache disorders randomized placebo|Psilocybin|Headache disorders
Psilocybin Headache disorders treatment outcome|Psilocybin|Headache disorders
Psilocybin Migraine clinical trial|Psilocybin|Migraine
Psilocybin Migraine randomized placebo|Psilocybin|Migraine
Psilocybin Migraine treatment outcome|Psilocybin|Migraine
Psilocybin Chronic pain clinical trial|Psilocybin|Chronic pain
Psilocybin Chronic pain randomized placebo|Psilocybin|Chronic pain
Psilocybin Chronic pain treatment outcome|Psilocybin|Chronic pain
Psilocybin Fibromyalgia randomized placebo|Psilocybin|Fibromyalgia
Psilocybin Fibromyalgia treatment outcome|Psilocybin|Fibromyalgia
Psilocin Treatment-resistant depression clinical trial|Psilocin|Treatment-resistant depression
Psilocin Treatment-resistant depression randomized placebo|Psilocin|Treatment-resistant depression
Psilocin Treatment-resistant depression treatment outcome|Psilocin|Treatment-resistant depression
Psilocin Major depressive disorder clinical trial|Psilocin|Major depressive disorder
Psilocin Major depressive disorder randomized placebo|Psilocin|Major depressive disorder
Psilocin Major depressive disorder treatment outcome|Psilocin|Major depressive disorder
Psilocin Bipolar depression clinical trial|Psilocin|Bipolar depression
Psilocin Bipolar depression randomized placebo|Psilocin|Bipolar depression
Psilocin Bipolar depression treatment outcome|Psilocin|Bipolar depression
Psilocin Persistent depressive disorder clinical trial|Psilocin|Persistent depressive disorder
Psilocin Persistent depressive disorder randomized placebo|Psilocin|Persistent depressive disorder
Psilocin Persistent depressive disorder treatment outcome|Psilocin|Persistent depressive disorder
Psilocin Post-traumatic stress disorder clinical trial|Psilocin|Post-traumatic stress disorder
Psilocin Post-traumatic stress disorder randomized placebo|Psilocin|Post-traumatic stress disorder
Psilocin Post-traumatic stress disorder treatment outcome|Psilocin|Post-traumatic stress disorder
Psilocin Complex post-traumatic stress disorder clinical trial|Psilocin|Complex post-traumatic stress disorder
Psilocin Complex post-traumatic stress disorder randomized placebo|Psilocin|Complex post-traumatic stress disorder
Psilocin Complex post-traumatic stress disorder treatment outcome|Psilocin|Complex post-traumatic stress disorder
Psilocin Alcohol use disorder clinical trial|Psilocin|Alcohol use disorder
Psilocin Alcohol use disorder randomized placebo|Psilocin|Alcohol use disorder
Psilocin Alcohol use disorder treatment outcome|Psilocin|Alcohol use disorder
Psilocin Tobacco use disorder clinical trial|Psilocin|Tobacco use disorder
Psilocin Tobacco use disorder randomized placebo|Psilocin|Tobacco use disorder
Psilocin Tobacco use disorder treatment outcome|Psilocin|Tobacco use disorder
Psilocin Nicotine dependence clinical trial|Psilocin|Nicotine dependence
Psilocin Nicotine dependence randomized placebo|Psilocin|Nicotine dependence
Psilocin Nicotine dependence treatment outcome|Psilocin|Nicotine dependence
Psilocin Opioid use disorder clinical trial|Psilocin|Opioid use disorder
Psilocin Opioid use disorder randomized placebo|Psilocin|Opioid use disorder
Psilocin Opioid use disorder treatment outcome|Psilocin|Opioid use disorder
Psilocin Cannabis use disorder clinical trial|Psilocin|Cannabis use disorder
Psilocin Cannabis use disorder randomized placebo|Psilocin|Cannabis use disorder
Psilocin Cannabis use disorder treatment outcome|Psilocin|Cannabis use disorder
Psilocin Cocaine use disorder clinical trial|Psilocin|Cocaine use disorder
Psilocin Cocaine use disorder randomized placebo|Psilocin|Cocaine use disorder
Psilocin Cocaine use disorder treatment outcome|Psilocin|Cocaine use disorder
Psilocin Methamphetamine use disorder clinical trial|Psilocin|Methamphetamine use disorder
Psilocin Methamphetamine use disorder randomized placebo|Psilocin|Methamphetamine use disorder
Psilocin Methamphetamine use disorder treatment outcome|Psilocin|Methamphetamine use disorder
Psilocin Stimulant use disorder clinical trial|Psilocin|Stimulant use disorder
Psilocin Stimulant use disorder randomized placebo|Psilocin|Stimulant use disorder
Psilocin Stimulant use disorder treatment outcome|Psilocin|Stimulant use disorder
Psilocin Substance use disorder clinical trial|Psilocin|Substance use disorder
Psilocin Substance use disorder randomized placebo|Psilocin|Substance use disorder
Psilocin Substance use disorder treatment outcome|Psilocin|Substance use disorder
Psilocin Generalized anxiety disorder clinical trial|Psilocin|Generalized anxiety disorder
Psilocin Generalized anxiety disorder randomized placebo|Psilocin|Generalized anxiety disorder
Psilocin Generalized anxiety disorder treatment outcome|Psilocin|Generalized anxiety disorder
Psilocin Social anxiety disorder clinical trial|Psilocin|Social anxiety disorder
Psilocin Social anxiety disorder randomized placebo|Psilocin|Social anxiety disorder
Psilocin Social anxiety disorder treatment outcome|Psilocin|Social anxiety disorder
Psilocin Distress associated with life-threatening disease clinical trial|Psilocin|Distress associated with life-threatening disease
Psilocin Distress associated with life-threatening disease randomized placebo|Psilocin|Distress associated with life-threatening disease
Psilocin Distress associated with life-threatening disease treatment outcome|Psilocin|Distress associated with life-threatening disease
Psilocin Obsessive-compulsive disorder clinical trial|Psilocin|Obsessive-compulsive disorder
Psilocin Obsessive-compulsive disorder randomized placebo|Psilocin|Obsessive-compulsive disorder
Psilocin Obsessive-compulsive disorder treatment outcome|Psilocin|Obsessive-compulsive disorder
Psilocin Eating disorders clinical trial|Psilocin|Eating disorders
Psilocin Eating disorders randomized placebo|Psilocin|Eating disorders
Psilocin Eating disorders treatment outcome|Psilocin|Eating disorders
Psilocin Anorexia nervosa clinical trial|Psilocin|Anorexia nervosa
Psilocin Anorexia nervosa randomized placebo|Psilocin|Anorexia nervosa
Psilocin Anorexia nervosa treatment outcome|Psilocin|Anorexia nervosa
Psilocin Bulimia nervosa clinical trial|Psilocin|Bulimia nervosa
Psilocin Bulimia nervosa randomized placebo|Psilocin|Bulimia nervosa
Psilocin Bulimia nervosa treatment outcome|Psilocin|Bulimia nervosa
Psilocin Binge-eating disorder clinical trial|Psilocin|Binge-eating disorder
Psilocin Binge-eating disorder randomized placebo|Psilocin|Binge-eating disorder
Psilocin Binge-eating disorder treatment outcome|Psilocin|Binge-eating disorder
Psilocin Autism spectrum disorder clinical trial|Psilocin|Autism spectrum disorder
Psilocin Autism spectrum disorder randomized placebo|Psilocin|Autism spectrum disorder
Psilocin Autism spectrum disorder treatment outcome|Psilocin|Autism spectrum disorder
Psilocin Demoralization clinical trial|Psilocin|Demoralization
Psilocin Demoralization randomized placebo|Psilocin|Demoralization
Psilocin Demoralization treatment outcome|Psilocin|Demoralization
Psilocin Suicidal ideation clinical trial|Psilocin|Suicidal ideation
Psilocin Suicidal ideation randomized placebo|Psilocin|Suicidal ideation
Psilocin Suicidal ideation treatment outcome|Psilocin|Suicidal ideation
Psilocin Cluster headache clinical trial|Psilocin|Cluster headache
Psilocin Cluster headache randomized placebo|Psilocin|Cluster headache
Psilocin Cluster headache treatment outcome|Psilocin|Cluster headache
Psilocin Headache disorders clinical trial|Psilocin|Headache disorders
Psilocin Headache disorders randomized placebo|Psilocin|Headache disorders
Psilocin Headache disorders treatment outcome|Psilocin|Headache disorders
Psilocin Migraine clinical trial|Psilocin|Migraine
Psilocin Migraine randomized placebo|Psilocin|Migraine
Psilocin Migraine treatment outcome|Psilocin|Migraine
Psilocin Chronic pain clinical trial|Psilocin|Chronic pain
Psilocin Chronic pain randomized placebo|Psilocin|Chronic pain
Psilocin Chronic pain treatment outcome|Psilocin|Chronic pain
Psilocin Fibromyalgia clinical trial|Psilocin|Fibromyalgia
Psilocin Fibromyalgia randomized placebo|Psilocin|Fibromyalgia
Psilocin Fibromyalgia treatment outcome|Psilocin|Fibromyalgia
Mescaline Treatment-resistant depression clinical trial|Mescaline|Treatment-resistant depression
Mescaline Treatment-resistant depression randomized placebo|Mescaline|Treatment-resistant depression
Mescaline Treatment-resistant depression treatment outcome|Mescaline|Treatment-resistant depression
Mescaline Major depressive disorder randomized placebo|Mescaline|Major depressive disorder
Mescaline Major depressive disorder treatment outcome|Mescaline|Major depressive disorder
Mescaline Bipolar depression clinical trial|Mescaline|Bipolar depression
Mescaline Bipolar depression randomized placebo|Mescaline|Bipolar depression
Mescaline Bipolar depression treatment outcome|Mescaline|Bipolar depression
Mescaline Persistent depressive disorder clinical trial|Mescaline|Persistent depressive disorder
Mescaline Persistent depressive disorder randomized placebo|Mescaline|Persistent depressive disorder
Mescaline Persistent depressive disorder treatment outcome|Mescaline|Persistent depressive disorder
Mescaline Post-traumatic stress disorder clinical trial|Mescaline|Post-traumatic stress disorder
Mescaline Post-traumatic stress disorder randomized placebo|Mescaline|Post-traumatic stress disorder
Mescaline Post-traumatic stress disorder treatment outcome|Mescaline|Post-traumatic stress disorder
Mescaline Complex post-traumatic stress disorder clinical trial|Mescaline|Complex post-traumatic stress disorder
Mescaline Complex post-traumatic stress disorder randomized placebo|Mescaline|Complex post-traumatic stress disorder
Mescaline Complex post-traumatic stress disorder treatment outcome|Mescaline|Complex post-traumatic stress disorder
Mescaline Alcohol use disorder clinical trial|Mescaline|Alcohol use disorder
Mescaline Alcohol use disorder randomized placebo|Mescaline|Alcohol use disorder
Mescaline Alcohol use disorder treatment outcome|Mescaline|Alcohol use disorder
Mescaline Tobacco use disorder clinical trial|Mescaline|Tobacco use disorder
Mescaline Tobacco use disorder randomized placebo|Mescaline|Tobacco use disorder
Mescaline Tobacco use disorder treatment outcome|Mescaline|Tobacco use disorder
Mescaline Nicotine dependence clinical trial|Mescaline|Nicotine dependence
Mescaline Nicotine dependence randomized placebo|Mescaline|Nicotine dependence
Mescaline Nicotine dependence treatment outcome|Mescaline|Nicotine dependence
Mescaline Opioid use disorder clinical trial|Mescaline|Opioid use disorder
Mescaline Opioid use disorder randomized placebo|Mescaline|Opioid use disorder
Mescaline Opioid use disorder treatment outcome|Mescaline|Opioid use disorder
Mescaline Cannabis use disorder clinical trial|Mescaline|Cannabis use disorder
Mescaline Cannabis use disorder randomized placebo|Mescaline|Cannabis use disorder
Mescaline Cannabis use disorder treatment outcome|Mescaline|Cannabis use disorder
Mescaline Cocaine use disorder clinical trial|Mescaline|Cocaine use disorder
Mescaline Cocaine use disorder randomized placebo|Mescaline|Cocaine use disorder
Mescaline Cocaine use disorder treatment outcome|Mescaline|Cocaine use disorder
Mescaline Methamphetamine use disorder clinical trial|Mescaline|Methamphetamine use disorder
Mescaline Methamphetamine use disorder randomized placebo|Mescaline|Methamphetamine use disorder
Mescaline Methamphetamine use disorder treatment outcome|Mescaline|Methamphetamine use disorder
Mescaline Stimulant use disorder clinical trial|Mescaline|Stimulant use disorder
Mescaline Stimulant use disorder randomized placebo|Mescaline|Stimulant use disorder
Mescaline Stimulant use disorder treatment outcome|Mescaline|Stimulant use disorder
Mescaline Substance use disorder clinical trial|Mescaline|Substance use disorder
Mescaline Substance use disorder randomized placebo|Mescaline|Substance use disorder
Mescaline Substance use disorder treatment outcome|Mescaline|Substance use disorder
Mescaline Generalized anxiety disorder clinical trial|Mescaline|Generalized anxiety disorder
Mescaline Generalized anxiety disorder randomized placebo|Mescaline|Generalized anxiety disorder
Mescaline Generalized anxiety disorder treatment outcome|Mescaline|Generalized anxiety disorder
Mescaline Social anxiety disorder clinical trial|Mescaline|Social anxiety disorder
Mescaline Social anxiety disorder randomized placebo|Mescaline|Social anxiety disorder
Mescaline Social anxiety disorder treatment outcome|Mescaline|Social anxiety disorder
Mescaline Distress associated with life-threatening disease clinical trial|Mescaline|Distress associated with life-threatening disease
